,time,open,high,low,close,tick_volume,spread,real_volume
0,2020-10-12,1926.89,1933.18,1918.2,1922.63,89130,5,0
1,2020-10-13,1923.88,1925.37,1886.37,1891.07,98934,5,0
2,2020-10-14,1892.95,1912.94,1882.46,1900.49,88039,5,0
3,2020-10-15,1901.54,1908.9,1889.48,1907.92,100016,5,0
4,2020-10-16,1908.74,1913.92,1897.76,1898.76,79358,5,0
5,2020-10-19,1899.71,1918.47,1896.98,1903.44,81201,5,0
6,2020-10-20,1903.5,1914.03,1894.81,1907.53,80173,5,0
7,2020-10-21,1910.14,1931.36,1908.41,1924.6,87121,5,0
8,2020-10-22,1924.65,1925.94,1894.5,1903.67,83858,5,0
9,2020-10-23,1904.81,1914.19,1894.29,1901.41,72918,5,0
10,2020-10-26,1901.37,1908.52,1891.21,1901.68,84997,5,0
11,2020-10-27,1902.06,1911.42,1897.84,1907.35,70872,5,0
12,2020-10-28,1907.75,1910.87,1869.36,1876.81,107560,5,0
13,2020-10-29,1877.7,1884.97,1859.92,1867.11,101170,5,0
14,2020-10-30,1869.1,1889.79,1864.45,1878.37,102452,5,0
15,2020-11-02,1879.27,1896.02,1873.41,1895.06,91898,5,0
16,2020-11-03,1894.95,1910.55,1886.86,1908.94,83912,5,0
17,2020-11-04,1909.17,1916.31,1881.82,1903.27,138750,5,0
18,2020-11-05,1903.22,1952.76,1902.45,1949.17,136181,5,0
19,2020-11-06,1946.29,1960.29,1935.59,1951.81,129291,5,0
20,2020-11-09,1957.18,1965.46,1850.52,1863.13,178171,5,0
21,2020-11-10,1860.97,1890.35,1860.69,1877.39,145814,5,0
22,2020-11-11,1875.53,1884.41,1856.43,1865.5,110216,5,0
23,2020-11-12,1866.76,1883.81,1862.69,1876.71,108861,5,0
24,2020-11-13,1877.12,1896.75,1873.97,1889.28,91972,5,0
25,2020-11-16,1887.89,1899.01,1864.46,1888.66,117953,5,0
26,2020-11-17,1889.5,1893.43,1876.84,1880.19,92151,5,0
27,2020-11-18,1881.56,1884.82,1863.47,1871.97,88323,5,0
28,2020-11-19,1873.83,1874.13,1852.69,1866.84,88459,5,0
29,2020-11-20,1861.33,1879.75,1860.76,1870.9,69867,5,0
30,2020-11-23,1870.86,1876.14,1830.95,1837.49,90322,5,0
31,2020-11-24,1838.68,1838.95,1800.25,1807.71,115098,5,0
32,2020-11-25,1807.66,1817.63,1801.73,1807.07,80615,5,0
33,2020-11-26,1809.01,1818.22,1805.7,1810.2,48151,5,0
34,2020-11-27,1810.24,1813.88,1774.33,1786.76,77501,5,0
35,2020-11-30,1789.31,1789.86,1764.38,1777.64,99038,5,0
36,2020-12-01,1776.97,1817.27,1775.74,1815.42,84421,5,0
37,2020-12-02,1812.97,1832.55,1807.43,1830.72,80494,5,0
38,2020-12-03,1829.36,1843.91,1823.64,1840.98,89559,5,0
39,2020-12-04,1841.28,1848.17,1829.11,1838.6,74001,5,0
40,2020-12-07,1836.86,1868.5,1821.99,1863.1,80761,5,0
41,2020-12-08,1862.91,1875.28,1860.17,1870.83,75510,5,0
42,2020-12-09,1869.35,1870.53,1825.4,1839.41,99377,5,0
43,2020-12-10,1838.49,1849.98,1828.62,1835.96,90853,5,0
44,2020-12-11,1837.03,1847.66,1823.91,1839.91,75786,5,0
45,2020-12-14,1837.07,1839.02,1818.34,1827.82,77212,5,0
46,2020-12-15,1828.4,1855.32,1825.46,1853.67,74189,5,0
47,2020-12-16,1853.88,1865.77,1844.71,1864.06,101568,5,0
48,2020-12-17,1863.46,1896.19,1862.01,1886.04,95207,5,0
49,2020-12-18,1884.71,1889.58,1877.38,1880.55,78474,5,0
50,2020-12-21,1882.51,1906.7,1854.99,1876.25,133851,5,0
51,2020-12-22,1879.31,1884.21,1858.93,1859.91,101321,5,0
52,2020-12-23,1861.01,1878.56,1857.06,1872.63,98019,5,0
53,2020-12-24,1873.39,1883.46,1869.5,1879.3,55919,5,0
54,2020-12-28,1888.4,1900.2,1869.12,1873.05,85663,5,0
55,2020-12-29,1875.23,1886.44,1871.71,1878.17,75438,5,0
56,2020-12-30,1877.31,1894.04,1876.08,1893.81,63365,5,0
57,2020-12-31,1893.47,1900.38,1885.41,1893.68,64248,5,0
58,2021-01-04,1909.07,1944.43,1907.72,1943.23,110285,5,0
59,2021-01-05,1941.49,1953.09,1934.31,1950.03,95998,5,0
60,2021-01-06,1949.89,1959.29,1900.83,1918.79,143511,5,0
61,2021-01-07,1920.94,1927.64,1906.77,1913.51,105316,5,0
62,2021-01-08,1916.18,1917.48,1828.27,1849.04,155562,5,0
63,2021-01-11,1854.74,1855.59,1817.0,1844.45,120645,5,0
64,2021-01-12,1847.51,1863.8,1836.7,1855.31,105679,5,0
65,2021-01-13,1855.04,1862.94,1841.91,1844.68,88213,5,0
66,2021-01-14,1847.51,1857.45,1830.94,1846.46,102850,5,0
67,2021-01-15,1847.79,1856.85,1823.39,1827.65,125252,5,0
68,2021-01-18,1828.39,1840.72,1810.29,1837.52,89033,5,0
69,2021-01-19,1838.41,1845.51,1833.12,1839.63,109648,5,0
70,2021-01-20,1840.51,1871.73,1832.49,1871.42,125615,5,0
71,2021-01-21,1871.58,1875.01,1858.32,1869.8,118950,5,0
72,2021-01-22,1869.76,1870.81,1837.4,1854.67,132569,5,0
73,2021-01-25,1858.02,1867.93,1847.11,1855.94,137306,5,0
74,2021-01-26,1855.26,1861.73,1848.4,1851.43,110758,5,0
75,2021-01-27,1851.58,1853.11,1831.35,1843.83,143666,5,0
76,2021-01-28,1842.66,1864.0,1834.0,1842.61,171059,5,0
77,2021-01-29,1843.12,1875.69,1839.59,1847.59,192328,5,0
78,2021-02-01,1855.57,1871.78,1849.15,1860.55,220293,5,0
79,2021-02-02,1859.37,1864.05,1829.53,1837.65,180506,5,0
80,2021-02-03,1837.38,1844.98,1829.81,1834.21,128024,5,0
81,2021-02-04,1834.12,1834.74,1784.9,1793.12,158695,5,0
82,2021-02-05,1795.17,1815.2,1791.98,1813.4,127304,5,0
83,2021-02-08,1817.35,1839.19,1807.77,1830.13,136422,5,0
84,2021-02-09,1830.87,1848.56,1828.83,1837.64,123760,5,0
85,2021-02-10,1838.59,1855.31,1834.05,1842.35,123670,5,0
86,2021-02-11,1843.91,1847.54,1821.2,1825.47,105907,5,0
87,2021-02-12,1826.11,1830.68,1810.52,1824.17,110731,5,0
88,2021-02-15,1824.88,1827.02,1816.07,1818.72,71964,5,0
89,2021-02-16,1819.62,1826.42,1789.48,1794.56,149750,5,0
90,2021-02-17,1792.65,1795.15,1769.47,1776.7,153764,5,0
91,2021-02-18,1776.95,1789.62,1768.42,1775.44,148265,5,0
92,2021-02-19,1776.46,1791.63,1760.64,1783.05,159459,5,0
93,2021-02-22,1786.78,1812.69,1780.68,1809.04,177046,5,0
94,2021-02-23,1809.4,1816.01,1795.6,1805.07,158899,5,0
95,2021-02-24,1806.6,1813.94,1783.63,1805.33,162824,5,0
96,2021-02-25,1803.65,1804.23,1765.28,1770.25,225865,5,0
97,2021-02-26,1772.25,1775.76,1717.18,1733.84,243495,5,0
98,2021-03-01,1737.79,1759.89,1719.63,1724.79,188016,5,0
99,2021-03-02,1723.03,1738.77,1707.2,1738.77,181720,5,0
100,2021-03-03,1738.15,1740.49,1701.86,1711.71,175583,5,0
101,2021-03-04,1710.88,1723.19,1690.54,1698.6,218170,5,0
102,2021-03-05,1697.83,1707.62,1687.28,1700.76,192230,5,0
103,2021-03-08,1706.24,1714.29,1676.82,1682.53,185032,5,0
104,2021-03-09,1684.52,1720.58,1680.12,1715.59,160257,5,0
105,2021-03-10,1715.33,1726.57,1708.2,1726.33,149898,5,0
106,2021-03-11,1726.56,1739.82,1719.27,1722.38,142465,5,0
107,2021-03-12,1721.63,1727.96,1699.21,1726.92,149733,5,0
108,2021-03-15,1728.56,1734.54,1721.66,1732.11,132634,5,0
109,2021-03-16,1731.86,1741.21,1726.25,1731.85,125856,5,0
110,2021-03-17,1732.35,1751.63,1724.17,1744.54,136197,5,0
111,2021-03-18,1748.74,1755.46,1719.25,1736.49,161388,5,0
112,2021-03-19,1735.77,1746.72,1728.5,1745.14,139589,5,0
113,2021-03-22,1743.8,1744.33,1727.39,1738.68,129700,5,0
114,2021-03-23,1739.58,1742.6,1724.68,1726.89,126605,5,0
115,2021-03-24,1727.15,1738.47,1723.79,1733.83,111264,5,0
116,2021-03-25,1734.91,1745.43,1721.76,1726.98,131827,5,0
117,2021-03-26,1727.94,1736.65,1721.63,1732.7,105918,5,0
118,2021-03-29,1731.17,1732.84,1705.65,1711.81,109038,5,0
119,2021-03-30,1712.68,1714.36,1678.77,1685.06,135333,5,0
120,2021-03-31,1684.83,1715.34,1677.86,1707.7,130802,5,0
121,2021-04-01,1707.4,1730.4,1705.76,1729.49,115912,5,0
122,2021-04-05,1728.66,1733.57,1721.25,1728.36,88124,5,0
123,2021-04-06,1728.71,1745.47,1727.16,1743.06,109667,5,0
124,2021-04-07,1743.28,1744.32,1730.57,1737.57,103223,5,0
125,2021-04-08,1737.56,1758.66,1733.14,1756.14,102546,5,0
126,2021-04-09,1755.65,1757.32,1731.26,1743.46,110017,5,0
127,2021-04-12,1742.71,1745.0,1727.48,1732.34,110257,5,0
128,2021-04-13,1733.23,1748.99,1723.7,1745.39,122156,5,0
129,2021-04-14,1745.66,1749.31,1732.58,1736.25,106297,5,0
130,2021-04-15,1736.26,1769.68,1734.35,1763.5,103270,5,0
131,2021-04-16,1763.97,1783.79,1759.72,1776.67,100215,5,0
132,2021-04-19,1775.67,1790.03,1766.76,1770.78,113432,5,0
133,2021-04-20,1770.9,1780.41,1763.53,1778.55,110180,5,0
134,2021-04-21,1778.16,1797.63,1776.24,1793.92,102562,5,0
135,2021-04-22,1793.95,1797.88,1777.45,1784.36,104081,5,0
136,2021-04-23,1784.16,1795.95,1770.01,1776.48,102335,5,0
137,2021-04-26,1775.48,1783.5,1768.84,1781.39,95870,5,0
138,2021-04-27,1781.27,1785.55,1773.76,1776.7,90326,0,0
139,2021-04-28,1776.99,1782.54,1762.62,1781.47,104594,0,0
140,2021-04-29,1781.96,1789.98,1756.19,1772.28,105898,0,0
141,2021-04-30,1772.61,1773.62,1764.24,1768.97,97490,0,0
142,2021-05-03,1766.81,1797.91,1766.04,1793.04,90768,0,0
143,2021-05-04,1792.58,1799.09,1771.01,1779.28,107458,0,0
144,2021-05-05,1778.34,1787.97,1770.49,1787.66,86898,0,0
145,2021-05-06,1786.8,1818.12,1782.0,1815.22,110093,0,0
146,2021-05-07,1814.64,1843.3,1812.85,1830.85,126630,0,0
147,2021-05-10,1833.04,1845.49,1829.97,1835.54,124892,0,0
148,2021-05-11,1836.07,1841.8,1818.09,1836.8,120851,0,0
149,2021-05-12,1836.83,1843.68,1813.24,1816.11,137693,0,0
150,2021-05-13,1814.87,1828.8,1808.77,1826.93,122267,0,0
151,2021-05-14,1827.12,1845.93,1819.77,1842.56,101155,0,0
152,2021-05-17,1843.52,1868.41,1843.52,1866.65,105152,0,0
153,2021-05-18,1866.69,1875.03,1863.2,1869.64,95130,0,0
154,2021-05-19,1869.12,1890.09,1852.23,1870.15,155875,0,0
155,2021-05-20,1870.06,1883.94,1863.86,1877.28,147676,0,0
156,2021-05-21,1877.79,1889.41,1870.1,1881.74,139975,0,0
157,2021-05-24,1881.41,1887.02,1875.17,1881.35,128610,0,0
158,2021-05-25,1880.78,1900.21,1872.71,1899.18,121916,0,0
159,2021-05-26,1898.77,1912.74,1890.77,1896.5,122351,0,0
160,2021-05-27,1896.45,1903.67,1888.28,1896.43,124764,0,0
161,2021-05-28,1897.4,1905.95,1882.27,1903.18,131825,0,0
162,2021-05-31,1903.74,1910.65,1902.14,1906.62,68155,0,0
163,2021-06-01,1907.26,1916.58,1892.37,1899.87,123400,0,0
164,2021-06-02,1899.65,1909.09,1894.37,1908.66,106790,0,0
165,2021-06-03,1908.45,1909.64,1865.37,1870.7,132560,0,0
166,2021-06-04,1871.33,1896.14,1855.5,1891.51,127130,0,0
167,2021-06-07,1890.19,1900.13,1881.57,1898.78,104532,0,0
168,2021-06-08,1899.1,1903.67,1883.84,1893.06,105052,0,0
169,2021-06-09,1891.72,1898.95,1887.33,1888.89,97129,0,0
170,2021-06-10,1888.89,1899.86,1869.84,1899.64,126781,0,0
171,2021-06-11,1898.15,1903.03,1874.44,1876.16,118817,0,0
172,2021-06-14,1876.07,1877.62,1844.77,1866.31,118581,0,0
173,2021-06-15,1867.53,1869.16,1851.65,1858.89,94645,0,0
174,2021-06-16,1859.13,1862.91,1803.33,1810.21,112002,0,0
175,2021-06-17,1813.54,1825.33,1767.3,1772.78,186319,0,0
176,2021-06-18,1775.49,1797.14,1760.91,1764.52,136136,0,0
177,2021-06-21,1768.64,1786.61,1766.4,1783.25,142895,0,0
178,2021-06-22,1784.05,1790.09,1772.44,1778.63,126279,0,0
179,2021-06-23,1779.76,1794.95,1773.33,1778.4,104888,0,0
180,2021-06-24,1778.61,1787.97,1772.85,1774.96,110374,0,0
181,2021-06-25,1776.26,1790.34,1773.7,1781.11,94761,0,0
182,2021-06-28,1781.24,1785.74,1770.67,1779.03,87814,0,0
183,2021-06-29,1778.6,1778.96,1750.69,1761.08,81852,0,0
184,2021-06-30,1762.09,1774.39,1753.33,1769.65,80009,0,0
185,2021-07-01,1770.03,1782.78,1765.64,1776.52,74755,0,0
186,2021-07-02,1776.28,1795.04,1774.33,1787.33,79540,0,0
187,2021-07-05,1787.11,1794.34,1784.47,1791.73,40542,0,0
